quantity, width, height, title
2, 6.25, 23.15, "Bottom *"
2, 6.25, 12.25, "Side A"
2, 6.25, 12.25, "Side B"
1, 5.5, 23.125, "Upper panel front"
1, 5.375, 23.125, "Upper panel rear"
1, 6, 22, "Back"
2, 5.8125, 22, "Drawer Divider *"
2, 6.25, 8, "Fixed Shelf *"
1, 1.75, 23.25, "Lid Stile A"
1, 1.75, 23.25, "Lid Stile B"
1, 2.625, 12.625, "Lid Rail A"
1, 2.625, 12.625, "Lid Rail B"
1, 1.75, 9.75, "Center Stile"
1, 8.75, 9.75, "Panel A"
1, 8.75, 9.75, "Panel B"
1, 2.75, 21.5, "Bottom Drawer Front"
1, 2.25, 21.5, "Top Drawer Front"
